file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,07d8ae36,NGLYRY,2025-01-30,21:48:04,-08:00,2025-01-30T21:48:04-08:00,0,0
style.css,2,css,07d8ae36,NGLYRY,2025-01-30,21:48:04,-08:00,2025-01-30T21:48:04-08:00,0,14
style.css,3,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,18
style.css,4,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,9
style.css,5,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,11
style.css,6,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,14
style.css,7,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,15
style.css,8,css,dd57adaa,NGLYRY,2025-01-25,16:39:36,-08:00,2025-01-25T16:39:36-08:00,0,0
style.css,9,css,dd57adaa,NGLYRY,2025-01-25,16:39:36,-08:00,2025-01-25T16:39:36-08:00,0,0
style.css,10,css,871e8f98,NGLYRY,2025-01-10,18:47:48,-08:00,2025-01-10T18:47:48-08:00,0,5
style.css,11,css,871e8f98,NGLYRY,2025-01-10,18:47:48,-08:00,2025-01-10T18:47:48-08:00,0,44
style.css,12,css,871e8f98,NGLYRY,2025-01-10,18:47:48,-08:00,2025-01-10T18:47:48-08:00,0,43
style.css,13,css,871e8f98,NGLYRY,2025-01-10,18:47:48,-08:00,2025-01-10T18:47:48-08:00,0,1
style.css,14,css,871e8f98,NGLYRY,2025-01-10,18:47:48,-08:00,2025-01-10T18:47:48-08:00,0,24
style.css,15,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,16
style.css,16,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,28
style.css,17,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,0
style.css,18,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,0
style.css,19,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,4
style.css,20,css,f62a35a6,NGLYRY,2025-01-30,23:39:48,-08:00,2025-01-30T23:39:48-08:00,0,11
style.css,21,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,13
style.css,22,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,17
style.css,23,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,24
style.css,24,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,26
style.css,25,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,40
style.css,26,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,40
style.css,27,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,0
style.css,28,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,0
style.css,29,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,6
style.css,30,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,7
style.css,31,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,21
style.css,32,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,14
style.css,33,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,18
style.css,34,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,14
style.css,35,css,de0b34a9,NGLYRY,2025-01-16,22:35:27,-08:00,2025-01-16T22:35:27-08:00,0,0
style.css,36,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,37,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,14
style.css,38,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,46
style.css,39,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,21
style.css,40,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,41,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,0
style.css,42,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,11
style.css,43,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,46
style.css,44,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,26
style.css,45,css,db02b296,NGLYRY,2025-01-17,21:42:25,-08:00,2025-01-17T21:42:25-08:00,0,48
style.css,46,css,8e167ef2,NGLYRY,2025-01-25,20:47:40,-08:00,2025-01-25T20:47:40-08:00,0,70
